award_id,event_id,team_id,qualification
75214,35112,64629,RC
75214,35112,64629,CREATE U.S. Open
75215,35112,64629,RC
75215,35112,64629,CREATE U.S. Open
75215,35112,58159,RC
75215,35112,58159,CREATE U.S. Open
75216,35112,70324,RC
75216,35112,70324,CREATE U.S. Open
75219,35112,64631,RC
75219,35112,64631,CREATE U.S. Open
77706,35625,94944,CREATE U.S. Open
77706,35625,88539,CREATE U.S. Open
77711,35625,52354,CREATE U.S. Open
77720,35625,94944,CREATE U.S. Open
77692,35624,48209,CREATE U.S. Open
77692,35624,41329,CREATE U.S. Open
80916,35624,47551,CREATE U.S. Open
75091,35087,53953,RE-VRC-18-6632
75092,35087,56175,RE-VRC-18-6632
75092,35087,71139,RE-VRC-18-6632
75095,35087,71795,RE-VRC-18-6632
75097,35087,82364,RE-VRC-18-6632
75097,35087,56176,RE-VRC-18-6632
77441,35587,96328,CREATE U.S. Open
77442,35587,50575,CREATE U.S. Open
77442,35587,94469,CREATE U.S. Open
76429,35353,82096,RC
75723,35182,24235,RC
75723,35182,24235,CREATE U.S. Open
75724,35182,13993,RC
75724,35182,13993,CREATE U.S. Open
75724,35182,24235,RC
75724,35182,24235,CREATE U.S. Open
75728,35182,37807,CREATE U.S. Open
75732,35182,24235,CREATE U.S. Open
77843,35629,57157,World Championship
75076,35084,76845,RE-VRC-18-6632
75077,35084,82364,RE-VRC-18-6632
75077,35084,70315,RE-VRC-18-6632
75078,35084,53953,RE-VRC-18-6632
84589,35084,70488,RE-VRC-18-6632
84589,35084,53953,RE-VRC-18-6632
75813,35199,70274,RC
75814,35199,72033,RC
75814,35199,70274,RC
77287,35551,581,RC
77287,35551,581,CREATE U.S. Open
77287,35551,63867,RC
77287,35551,63867,CREATE U.S. Open
77288,35551,581,RC
77288,35551,581,CREATE U.S. Open
77289,35551,19159,RC
77289,35551,1136,RC
77290,35551,581,RC
77290,35551,581,CREATE U.S. Open
77312,35551,581,RC
77312,35551,581,CREATE U.S. Open
77455,35588,52003,CREATE U.S. Open
77456,35588,47443,CREATE U.S. Open
77456,35588,95977,CREATE U.S. Open
77461,35588,47443,CREATE U.S. Open
77845,35630,95620,CREATE U.S. Open
77845,35630,95639,CREATE U.S. Open
77850,35630,95639,CREATE U.S. Open
77875,35630,95620,CREATE U.S. Open
78551,35759,88519,CREATE U.S. Open
78551,35759,77603,CREATE U.S. Open
83472,36487,52405,RC
83472,36487,52405,CREATE U.S. Open
83473,36487,66413,CREATE U.S. Open
83473,36487,52405,CREATE U.S. Open
76270,35027,89776,RC
76270,35027,89776,CREATE U.S. Open
76271,35027,89776,RC
76271,35027,89776,CREATE U.S. Open
76271,35027,81111,RC
76271,35027,81111,CREATE U.S. Open
76272,35027,81111,CREATE U.S. Open
76273,35027,89776,CREATE U.S. Open
75364,35108,50083,RC
75364,35108,50083,CREATE U.S. Open
75364,35108,82171,RC
75364,35108,82171,CREATE U.S. Open
75372,35108,50546,CREATE U.S. Open
97509,35108,50546,RC
97509,35108,50546,CREATE U.S. Open
97510,35108,50205,RC
97510,35108,50205,CREATE U.S. Open
75376,35109,70364,RC
75376,35109,70364,CREATE U.S. Open
75376,35109,93030,RC
75376,35109,93030,CREATE U.S. Open
75380,35109,56440,CREATE U.S. Open
75384,35109,93030,CREATE U.S. Open
95276,35109,6946,RC
95276,35109,6946,CREATE U.S. Open
75994,35225,92998,RC
75995,35225,50480,RC
75995,35225,92998,RC
77165,35529,62904,RC
77165,35529,62904,CREATE U.S. Open
77166,35529,62904,RC
77166,35529,62904,CREATE U.S. Open
77166,35529,22798,RC
77166,35529,22798,CREATE U.S. Open
77171,35529,8902,CREATE U.S. Open
78836,35817,88519,CREATE U.S. Open
78836,35817,71517,CREATE U.S. Open
78841,35817,77603,CREATE U.S. Open
96477,35817,8788,CREATE U.S. Open
75321,35125,93623,RC
75322,35125,73626,RC
75322,35125,69839,RC
75316,35123,93005,RC
75317,35123,93005,RC
75317,35123,93007,RC
75558,35160,77801,RE-VRC-18-5731
75558,35160,48423,RE-VRC-18-5731
75035,35078,50508,RC
75035,35078,50508,CREATE U.S. Open
75036,35078,99933,RC
75036,35078,99933,CREATE U.S. Open
75036,35078,99279,RC
75036,35078,99279,CREATE U.S. Open
92222,35078,50508,CREATE U.S. Open
93524,35078,99936,CREATE U.S. Open
75874,35208,81242,RC
75875,35208,70738,RC
75875,35208,70757,RC
78057,35664,87099,RC
78057,35664,87099,CREATE U.S. Open
78058,35664,21139,RC
78058,35664,21139,CREATE U.S. Open
78058,35664,56587,RC
78058,35664,56587,CREATE U.S. Open
78059,35664,74180,CREATE U.S. Open
78061,35664,21139,CREATE U.S. Open
83815,36531,90159,RC
83815,36531,90159,CREATE U.S. Open
83815,36531,74730,RC
83815,36531,74730,CREATE U.S. Open
83816,36531,90159,CREATE U.S. Open
83818,36531,90159,CREATE U.S. Open
84006,36531,51965,RC
84006,36531,51965,CREATE U.S. Open
