award_id,winner_type,team_id,individual
75904,TEAM,50691,
75905,TEAM,57416,
75905,TEAM,47897,
75906,TEAM,82509,
75908,INDIVIDUAL,,Caitlyn Schmitt
75910,TEAM,82510,
74993,TEAM,581,
74993,TEAM,13993,
80164,TEAM,79562,
80164,TEAM,63867,
80165,TEAM,581,
80166,TEAM,63867,
75214,TEAM,64629,
75215,TEAM,64629,
75215,TEAM,58159,
75216,TEAM,70324,
75217,TEAM,82436,
75218,TEAM,28045,
75218,TEAM,82436,
75219,TEAM,64631,
77706,TEAM,94944,
77706,TEAM,88539,
77707,TEAM,88537,
77708,TEAM,89832,
77709,TEAM,94886,
77710,TEAM,88539,
77711,TEAM,52354,
77712,TEAM,81313,
77713,TEAM,95063,
77714,TEAM,41326,
77714,TEAM,94945,
77715,TEAM,94945,
77715,TEAM,41323,
77716,TEAM,88539,
77717,TEAM,71502,
77719,TEAM,88537,
77719,TEAM,95284,
77720,TEAM,94944,
77692,TEAM,48209,
77692,TEAM,41329,
77693,TEAM,95150,
77694,TEAM,95329,
77695,TEAM,82783,
77696,TEAM,94880,
77697,TEAM,90086,
77698,TEAM,95243,
77699,TEAM,95189,
77701,TEAM,95187,
77701,TEAM,88525,
77702,TEAM,95411,
77703,TEAM,95187,
77705,TEAM,94621,
77705,TEAM,47551,
80916,TEAM,47551,
79455,TEAM,95118,
79456,TEAM,95286,
79457,TEAM,95072,
79458,TEAM,95073,
75091,TEAM,53953,
75092,TEAM,56175,
75092,TEAM,71139,
75095,TEAM,71795,
75096,TEAM,76845,
75097,TEAM,82364,
75097,TEAM,56176,
75098,TEAM,70488,
77441,TEAM,96328,
77442,TEAM,50575,
77442,TEAM,94469,
77448,TEAM,95831,
77449,TEAM,95410,
77451,TEAM,95410,
77451,TEAM,42208,
77452,TEAM,50575,
77453,TEAM,94469,
77454,TEAM,42202,
77454,TEAM,94824,
76429,TEAM,82096,
76430,TEAM,94915,
76430,TEAM,97189,
76431,TEAM,56263,
76432,TEAM,14581,
76433,TEAM,63527,
76434,TEAM,94915,
76435,TEAM,63527,
76435,TEAM,82096,
76436,TEAM,63527,
75723,TEAM,24235,
75724,TEAM,13993,
75724,TEAM,24235,
75725,TEAM,70457,
75726,TEAM,13993,
75727,TEAM,1046,
75728,TEAM,37807,
75729,TEAM,24640,
75730,TEAM,4966,
75731,INDIVIDUAL,,Robyn Cabuslay
75732,TEAM,24235,
75733,TEAM,24730,
79477,TEAM,95743,
79478,TEAM,95159,
79479,TEAM,53333,
79480,TEAM,95061,
79481,TEAM,95537,
77831,TEAM,95844,
77831,TEAM,95829,
77832,TEAM,40567,
77833,TEAM,95632,
77834,TEAM,95868,
77835,TEAM,95611,
77836,TEAM,70931,
77837,TEAM,96372,
