id,event_id,title
76686,35426,Tournament Champions (VRC/VEXU/VAIC)
101007,38070,Excellence Award - Middle School (VRC)
101008,38070,Excellence Award - High School (VRC)
75071,35083,Excellence Award (VRC/VEXU/VAIC)
75072,35083,Tournament Champions (VRC/VEXU/VAIC)
75073,35083,Design Award (VRC/VEXU/VAIC)
75074,35083,Judges Award (VRC/VEXU/VAIC/ADC)
75075,35083,Robot Skills Champion (VRC/VEXU)
75904,35214,Excellence Award (VRC/VEXU/VAIC)
75905,35214,Tournament Champions (VRC/VEXU/VAIC)
75906,35214,Design Award (VRC/VEXU/VAIC)
75908,35214,Volunteer of the Year Award (VRC/VEXU/VAIC)
75910,35214,Sportsmanship Award (VRC/VEXU/VAIC)
74993,35067,Tournament Champions (VRC/VEXU/VAIC)
80164,35067,Tournament Finalists (VRC/VEXU/VAIC)
80165,35067,Robot Skills Champion (VRC/VEXU)
80166,35067,Robot Skills 2nd Place (VRC/VEXU)
75214,35112,Excellence Award (VRC/VEXU/VAIC)
75215,35112,Tournament Champions (VRC/VEXU/VAIC)
75216,35112,Design Award (VRC/VEXU/VAIC)
75217,35112,Judges Award (VRC/VEXU/VAIC/ADC)
75218,35112,Tournament Finalists (VRC/VEXU/VAIC)
75219,35112,Robot Skills Champion (VRC/VEXU)
77706,35625,Tournament Champions (VRC/VEXU/VAIC)
77707,35625,Innovate Award (VRC/VEXU/VAIC)
77708,35625,Create Award (VRC/VEXU/VAIC)
77709,35625,Amaze Award (VRC/VEXU/VAIC)
77710,35625,Build Award (VRC/VEXU/VAIC)
77711,35625,Design Award (VRC/VEXU/VAIC)
77712,35625,Future Award (VRC/VEXU)
77713,35625,Think Award (VRC/VEXU/VAIC)
77714,35625,Judges Award (VRC/VEXU/VAIC/ADC)
77715,35625,Tournament Finalists (VRC/VEXU/VAIC)
77716,35625,Robot Skills Champion (VRC/VEXU)
77717,35625,Robot Skills 2nd Place (VRC/VEXU)
77719,35625,Tournament Semifinalists (VRC/VEXU/VAIC)
77720,35625,Excellence Award (VRC/VEXU/VAIC)
77692,35624,Tournament Champions (VRC/VEXU/VAIC)
77693,35624,Innovate Award (VRC/VEXU/VAIC)
77694,35624,Create Award (VRC/VEXU/VAIC)
77695,35624,Amaze Award (VRC/VEXU/VAIC)
77696,35624,Build Award (VRC/VEXU/VAIC)
77697,35624,Design Award (VRC/VEXU/VAIC)
77698,35624,Future Award (VRC/VEXU)
77699,35624,Think Award (VRC/VEXU/VAIC)
77701,35624,Tournament Finalists (VRC/VEXU/VAIC)
77702,35624,Robot Skills Champion (VRC/VEXU)
77703,35624,Robot Skills 2nd Place (VRC/VEXU)
77705,35624,Tournament Semifinalists (VRC/VEXU/VAIC)
80916,35624,Excellence Award (VRC/VEXU/VAIC)
79455,35925,Excellence Award (VRC/VEXU/VAIC)
79456,35925,Innovate Award (VRC/VEXU/VAIC)
79457,35925,Design Award (VRC/VEXU/VAIC)
79458,35925,Think Award (VRC/VEXU/VAIC)
79459,35925,Judges Award (VRC/VEXU/VAIC/ADC)
75091,35087,Excellence Award (VRC/VEXU/VAIC)
75092,35087,Tournament Champions (VRC/VEXU/VAIC)
75095,35087,Design Award (VRC/VEXU/VAIC)
75096,35087,Judges Award (VRC/VEXU/VAIC/ADC)
75097,35087,Tournament Finalists (VRC/VEXU/VAIC)
75098,35087,Robot Skills Champion (VRC/VEXU)
77441,35587,Excellence Award (VRC/VEXU/VAIC)
77442,35587,Tournament Champions (VRC/VEXU/VAIC)
77448,35587,Future Award (VRC/VEXU)
77449,35587,Think Award (VRC/VEXU/VAIC)
77451,35587,Tournament Finalists (VRC/VEXU/VAIC)
77452,35587,Robot Skills Champion (VRC/VEXU)
77453,35587,Robot Skills 2nd Place (VRC/VEXU)
77454,35587,Tournament Semifinalists (VRC/VEXU/VAIC)
76429,35353,Excellence Award (VRC/VEXU/VAIC)
76430,35353,Tournament Champions (VRC/VEXU/VAIC)
76431,35353,Amaze Award (VRC/VEXU/VAIC)
76432,35353,Design Award (VRC/VEXU/VAIC)
76433,35353,Think Award (VRC/VEXU/VAIC)
76434,35353,Judges Award (VRC/VEXU/VAIC/ADC)
76435,35353,Tournament Finalists (VRC/VEXU/VAIC)
76436,35353,Robot Skills Champion (VRC/VEXU)
75723,35182,Excellence Award (VRC/VEXU/VAIC)
75724,35182,Tournament Champions (VRC/VEXU/VAIC)
75725,35182,Create Award (VRC/VEXU/VAIC)
75726,35182,Amaze Award (VRC/VEXU/VAIC)
75727,35182,Build Award (VRC/VEXU/VAIC)
75728,35182,Design Award (VRC/VEXU/VAIC)
75729,35182,Think Award (VRC/VEXU/VAIC)
75730,35182,Judges Award (VRC/VEXU/VAIC/ADC)
75731,35182,Volunteer of the Year Award (VRC/VEXU/VAIC)
75732,35182,Robot Skills Champion (VRC/VEXU)
75733,35182,Sportsmanship Award (VRC/VEXU/VAIC)
79477,35929,Excellence Award (VRC/VEXU/VAIC)
79478,35929,Innovate Award (VRC/VEXU/VAIC)
79479,35929,Design Award (VRC/VEXU/VAIC)
79480,35929,Think Award (VRC/VEXU/VAIC)
79481,35929,Judges Award (VRC/VEXU/VAIC/ADC)
77831,35629,Tournament Champions (VRC/VEXU/VAIC)
77832,35629,Innovate Award (VRC/VEXU/VAIC)
77833,35629,Create Award (VRC/VEXU/VAIC)
77834,35629,Amaze Award (VRC/VEXU/VAIC)
77835,35629,Build Award (VRC/VEXU/VAIC)
77836,35629,Design Award (VRC/VEXU/VAIC)
77837,35629,Future Award (VRC/VEXU)
77838,35629,Think Award (VRC/VEXU/VAIC)
77839,35629,Judges Award (VRC/VEXU/VAIC/ADC)
77840,35629,Tournament Finalists (VRC/VEXU/VAIC)
77841,35629,Robot Skills Champion (VRC/VEXU)
77842,35629,Robot Skills 2nd Place (VRC/VEXU)
77843,35629,Excellence Award - Middle School (VRC)
77844,35629,Tournament Semifinalists (VRC/VEXU/VAIC)
75076,35084,Excellence Award (VRC/VEXU/VAIC)
75077,35084,Tournament Champions (VRC/VEXU/VAIC)
75078,35084,Design Award (VRC/VEXU/VAIC)
75079,35084,Judges Award (VRC/VEXU/VAIC/ADC)
75080,35084,Robot Skills Champion (VRC/VEXU)
84589,35084,Tournament Finalists (VRC/VEXU/VAIC)
76685,35425,Tournament Champions (VRC/VEXU/VAIC)
99586,35425,Robot Skills Champion (VRC/VEXU)
99587,35425,Excellence Award (VRC/VEXU/VAIC)
99588,35425,Design Award (VRC/VEXU/VAIC)
99589,35425,Build Award (VRC/VEXU/VAIC)
99590,35425,Think Award (VRC/VEXU/VAIC)
