team_id,event_id,tie_breaker,combined_score,season
83666,35067,1917290,8,125
24838,35067,1917300,6,125
71790,37135,2000519,6,125
57379,36399,2002031,45,125
83333,35200,1956575,27,125
82436,36268,1934642,20,125
93648,35112,1917318,3,125
63527,35348,1920706,18,125
85269,41551,2089669,40,129
61395,35190,2002257,52,125
56084,37496,1973259,27,125
94703,37325,1991887,29,125
63403,37675,2000739,46,125
83859,39141,2076931,84,129
94082,35959,1924202,10,125
63867,35551,1932234,18,125
83070,36945,1946122,23,125
95833,37326,1991957,37,125
71502,35625,1917422,25,125
54832,35035,1942958,24,125
55173,37567,1993233,28,125
79330,35107,1965531,20,125
101350,36183,1995175,15,125
81314,35625,1917436,9,125
81313,35625,1917438,9,125
85457,40486,2062867,31,129
1021,36083,2003091,34,125
94705,35625,1917442,6,125
87738,35625,1917444,2,125
95285,35625,1917446,2,125
51280,37044,1961631,42,125
41326,35366,1928798,31,125
51190,36530,1950988,12,125
38926,36530,1951740,15,125
94879,35624,1917394,14,125
95329,35624,1917396,13,125
48209,35624,1917398,12,125
82782,35624,1917400,12,125
47551,35624,1917404,10,125
41332,35624,1917406,10,125
88539,35625,1917420,29,125
95835,37326,1991973,26,125
56085,37496,1973263,24,125
94880,35624,1917412,7,125
94467,35624,1917414,5,125
41317,35624,1917416,5,125
82805,35624,1917418,1,125
95480,36628,1922678,23,125
41311,35378,1928884,34,125
446,38638,2101679,52,130
56036,36012,1921760,5,125
63709,37496,1973267,20,125
81573,36530,1951742,17,125
95476,35630,1917804,22,125
95410,36625,1922724,24,125
50492,36083,2003257,24,125
94857,36581,1925618,24,125
95477,35630,1917812,16,125
50575,35587,1917986,26,125
94469,35587,1917988,23,125
50083,37674,2000349,4,125
52354,37325,1991901,24,125
52942,35973,1998051,20,125
38923,36530,1952720,8,125
72424,37309,1989603,28,125
21571,35587,1918000,9,125
42211,35587,1918002,4,125
96328,35587,1918004,3,125
88534,35630,1917810,16,125
94823,36945,1946130,21,125
41323,35366,1928806,27,125
83692,41041,2092061,91,129
86062,37374,1985115,10,125
96219,36012,1921778,4,125
87882,36530,1951752,8,125
52745,37567,1993311,20,125
88510,35629,1917846,22,125
82171,37674,2000363,10,125
25360,40069,2088709,15,130
95620,35630,1917806,21,125
56060,36530,1951756,3,125
85812,35973,1998127,23,125
56263,35169,1936542,14,125
57157,36625,1922726,23,125
1416,35067,1917302,6,125
95844,37326,1991975,25,125
95743,36082,2003049,23,125
94856,36581,1925624,27,125
95843,35629,1917848,22,125
99917,35118,1978083,23,125
95091,35973,1998563,23,125
95830,37326,1991993,19,125
84325,37339,1957631,27,125
95158,35929,1918180,3,125
551,37675,2000765,32,125
82726,41823,3922847,147,139
41314,35378,1928900,27,125
96886,37567,1993475,12,125
93030,36359,1985545,32,125
13993,36624,1953116,18,125
97529,35973,1998835,29,125
94055,35629,1917852,21,125
95054,35629,1917856,20,125
24235,36261,1927166,29,125
95866,37326,1992001,17,125
95537,37745,1932578,26,125
82798,35629,1917868,16,125
93101,35973,1999755,17,125
62439,36906,1965967,30,125
83099,36632,1933080,17,125
41329,35378,1928888,31,125
42199,36945,1946146,19,125
95834,35629,1917876,15,125
95486,35629,1917878,14,125
93140,35973,1999875,17,125
94915,35371,1922020,14,125
94944,35625,1917424,20,125
95730,36628,1922682,22,125
77709,38992,2025391,40,129
70931,35629,1917854,21,125
56074,35182,1917674,7,125
24640,36160,1924798,41,125
95729,35630,1917818,15,125
